latest quarter,country,annual percent change
2020q1,Luxembourg,12.25662
2020q1,Slovak Republic,10.10991
2020q1,Portugal,9.730303
2020q1,Estonia,9.695886
2020q1,Philippines,9.498925
2019q3,Greece,8.526018
2020q1,Latvia,6.954439
2020q1,Poland,6.355505
2020q1,Croatia,5.75852
2020q1,Czech Republic,5.692939
2019q4,Chile,5.450939
2020q1,Germany,5.093505
2020q1,Australia,5.069404
2020q1,Romania,4.786067
2020q1,Thailand,4.665784
2020q1,Russia,4.547313
2020q1,Malta,4.348958
2020q1,New Zealand,4.235174
2020q1,Slovenia,3.984316
2020q1,France,3.635526
2020q1,Israel,3.58406
2020q1,Sweden,3.54324
2020q1,Mexico,3.537351
2020q1,Lithuania,3.526054
2020q1,Iceland,3.332006
2020q1,Netherlands,3.133367
2020q1,Switzerland,2.705212
2020q1,Spain,2.689405
2020q1,Belgium,2.467347
2020q1,Denmark,2.449347
2019q4,Cyprus,2.366634
2020q1,Singapore,2.103595
2020q1,Austria,1.443514
2020q1,Turkey,1.443152
2020q1,Italy,1.441569
2018q4,Taiwan,1.3695
2020q1,United States,1.266735
2020q1,Macedonia,1.148623
2020q1,Bulgaria,1.080016
2020q1,Canada,1.01352
2020q1,Colombia,0.9023891
2020q1,Norway,0.758791
2020q1,Finland,0.5371328
2020q1,United Kingdom,0.4233521
2020q1,Hungary,0.187986
2020q1,Hong Kong,0.1412245
2020q1,Brazil,0.1209534
2020q1,Ireland,-0.0228307
2020q1,Korea,-0.1041506
2019q4,Malaysia,-0.1991173
2018q2,Kazakhstan,-0.5445163
2020q1,Japan,-0.6965602
2018q3,Vietnam,-0.9863011
2019q4,Morocco,-1.091405
2020q1,Indonesia,-1.214126
2020q1,South Africa,-1.385389
2020q1,China,-1.87447
2020q1,Peru,-2.108982
2020q1,India,-2.439599
2020q1,United Arab Emirates,-6.288158
2019q4,Ukraine,-8.265705
2019q3,Serbia,-8.752919
2020q1,Qatar,-9.360302
